Constituents (Atomic Number : Fraction by Weight)
 Z=1	: 0.080541
 Z=6	: 0.599846
 Z=8	: 0.319613
       PHOTON      SCATTERING      PHOTO-    PAIR PRODUCTION  TOTAL ATTENUATION
       ENERGY   COHERENT INCOHER. ELECTRIC    IN       IN       WITH   WITHOUT
                                 ABSORPTION NUCLEAR ELECTRON  COHERENT COHERENT
                                             FIELD    FIELD    SCATT.   SCATT.
         (MeV)    (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)

       1.000E-03 1.155E+00 1.435E-02 2.792E+03 0.000E+00 0.000E+00 2.794E+03 2.792E+03
       2.000E-03 9.226E-01 4.418E-02 4.027E+02 0.000E+00 0.000E+00 4.037E+02 4.028E+02
       3.000E-03 7.012E-01 7.309E-02 1.228E+02 0.000E+00 0.000E+00 1.236E+02 1.229E+02
       4.000E-03 5.355E-01 9.586E-02 5.184E+01 0.000E+00 0.000E+00 5.247E+01 5.194E+01
       5.000E-03 4.196E-01 1.126E-01 2.628E+01 0.000E+00 0.000E+00 2.681E+01 2.639E+01
       6.000E-03 3.390E-01 1.248E-01 1.499E+01 0.000E+00 0.000E+00 1.545E+01 1.511E+01
       7.000E-03 2.814E-01 1.339E-01 9.284E+00 0.000E+00 0.000E+00 9.699E+00 9.418E+00
       8.000E-03 2.389E-01 1.410E-01 6.114E+00 0.000E+00 0.000E+00 6.494E+00 6.255E+00
       9.000E-03 2.065E-01 1.466E-01 4.221E+00 0.000E+00 0.000E+00 4.574E+00 4.367E+00
       1.000E-02 1.812E-01 1.513E-01 3.025E+00 0.000E+00 0.000E+00 3.357E+00 3.176E+00
       1.100E-02 1.607E-01 1.553E-01 2.235E+00 0.000E+00 0.000E+00 2.551E+00 2.390E+00
       1.200E-02 1.439E-01 1.587E-01 1.693E+00 0.000E+00 0.000E+00 1.996E+00 1.852E+00
       1.300E-02 1.297E-01 1.616E-01 1.311E+00 0.000E+00 0.000E+00 1.602E+00 1.473E+00
       1.400E-02 1.176E-01 1.642E-01 1.034E+00 0.000E+00 0.000E+00 1.315E+00 1.198E+00
       1.500E-02 1.071E-01 1.664E-01 8.278E-01 0.000E+00 0.000E+00 1.101E+00 9.943E-01
       1.600E-02 9.802E-02 1.684E-01 6.723E-01 0.000E+00 0.000E+00 9.387E-01 8.407E-01
       1.700E-02 9.001E-02 1.701E-01 5.527E-01 0.000E+00 0.000E+00 8.129E-01 7.228E-01
       1.800E-02 8.293E-02 1.716E-01 4.594E-01 0.000E+00 0.000E+00 7.139E-01 6.310E-01
       1.900E-02 7.663E-02 1.730E-01 3.855E-01 0.000E+00 0.000E+00 6.351E-01 5.584E-01
       2.000E-02 7.100E-02 1.741E-01 3.263E-01 0.000E+00 0.000E+00 5.714E-01 5.004E-01
       2.100E-02 6.594E-02 1.751E-01 2.784E-01 0.000E+00 0.000E+00 5.195E-01 4.535E-01
       2.200E-02 6.139E-02 1.760E-01 2.393E-01 0.000E+00 0.000E+00 4.766E-01 4.152E-01
       2.300E-02 5.728E-02 1.767E-01 2.070E-01 0.000E+00 0.000E+00 4.410E-01 3.837E-01
       2.400E-02 5.356E-02 1.773E-01 1.801E-01 0.000E+00 0.000E+00 4.110E-01 3.574E-01
       2.500E-02 5.018E-02 1.779E-01 1.576E-01 0.000E+00 0.000E+00 3.856E-01 3.355E-01
       2.600E-02 4.710E-02 1.783E-01 1.386E-01 0.000E+00 0.000E+00 3.640E-01 3.169E-01
       2.700E-02 4.429E-02 1.787E-01 1.225E-01 0.000E+00 0.000E+00 3.454E-01 3.011E-01
       2.800E-02 4.172E-02 1.789E-01 1.087E-01 0.000E+00 0.000E+00 3.294E-01 2.877E-01
       2.900E-02 3.936E-02 1.792E-01 9.689E-02 0.000E+00 0.000E+00 3.154E-01 2.760E-01
       3.000E-02 3.720E-02 1.793E-01 8.668E-02 0.000E+00 0.000E+00 3.032E-01 2.660E-01
       3.100E-02 3.520E-02 1.794E-01 7.783E-02 0.000E+00 0.000E+00 2.925E-01 2.573E-01
       3.200E-02 3.336E-02 1.795E-01 7.011E-02 0.000E+00 0.000E+00 2.830E-01 2.496E-01
       3.300E-02 3.166E-02 1.795E-01 6.336E-02 0.000E+00 0.000E+00 2.745E-01 2.429E-01
       3.400E-02 3.008E-02 1.795E-01 5.742E-02 0.000E+00 0.000E+00 2.670E-01 2.369E-01
       3.500E-02 2.862E-02 1.794E-01 5.219E-02 0.000E+00 0.000E+00 2.602E-01 2.316E-01
       3.600E-02 2.726E-02 1.793E-01 4.757E-02 0.000E+00 0.000E+00 2.542E-01 2.269E-01
       3.700E-02 2.599E-02 1.792E-01 4.346E-02 0.000E+00 0.000E+00 2.487E-01 2.227E-01
       3.800E-02 2.481E-02 1.791E-01 3.980E-02 0.000E+00 0.000E+00 2.437E-01 2.189E-01
       3.900E-02 2.371E-02 1.789E-01 3.653E-02 0.000E+00 0.000E+00 2.392E-01 2.155E-01
       4.000E-02 2.268E-02 1.788E-01 3.360E-02 0.000E+00 0.000E+00 2.350E-01 2.123E-01
       4.100E-02 2.172E-02 1.785E-01 3.096E-02 0.000E+00 0.000E+00 2.312E-01 2.095E-01
       4.200E-02 2.081E-02 1.783E-01 2.859E-02 0.000E+00 0.000E+00 2.277E-01 2.069E-01
       4.300E-02 1.996E-02 1.781E-01 2.645E-02 0.000E+00 0.000E+00 2.245E-01 2.045E-01
